amp_mean,amp_std,amp_max,amp_min,amp_range,amp_median,amp_iqr,amp_energy,vel_mean,vel_std,vel_max,vel_min,vel_range,vel_energy,zero_crossing_rate,signal_energy,signal_entropy,label,file_name,original_length,processed_length
0.5339332798575995,0.32650754111951535,0.9999999999999999,0.0,0.9999999999999999,0.5173367194113452,0.5944188318030886,402.26760363458556,0.0009745178671665003,0.001808870775347946,0.022951748388357174,-0.002172299277202583,0.025124047665559757,0.004335684416328659,0.0009737098344693282,402.26760363458556,2.789931373953258,left,Time.txt,1027,1027
0.5701030137187739,0.1964792047384933,1.0,0.0,1.0,0.6193322391710514,0.1780486922395934,373.07568377369273,0.0003857902800078215,0.06781756026230244,0.20602429157357094,-0.15114521418529553,0.35716950575886647,4.718953942237022,0.10916179337231968,373.07568377369273,2.5563914408203576,left,Velocity.txt,1026,1026
0.5263938195074523,0.3168896864167612,0.9999999999999999,0.0,0.9999999999999999,0.6996674767327292,0.6330085917115613,678.3846192516047,-0.0005943059243755037,0.04035460809877343,0.13737787568901141,-0.14264188108519393,0.2800197567742053,2.927039127024196,0.028380634390651086,678.3846192516047,2.5760995118355274,left,Amplitude.txt,1797,1797
0.5006172661928385,0.28867861007292456,1.0,0.0,1.0,0.5008337965536429,0.49916620344636115,600.1135178618763,0.000556792356354532,9.927563085524178e-06,0.0006679442477108,0.0005325413885725119,0.00013540285913828803,0.0005572789634327574,0.0005564830272676684,600.1135178618763,2.9957243562550513,left,Time.txt,1797,1797
0.5001030837410735,0.21771049461865163,0.9999999999999999,0.0,0.9999999999999999,0.5035656933448321,0.13938705978232935,534.3117130866347,0.00026926836513860856,0.04647098761945453,0.16940279162824462,-0.17212554629632199,0.3415283379245666,3.878686851620809,0.12082405345211582,534.3117130866347,2.560404675273027,left,Velocity.txt,1796,1796
0.47273214752475917,0.3532797718742583,1.0,0.0,1.0,0.49308264875845387,0.7607999038998723,626.5598226534987,8.097559030746132e-06,0.06722539596264719,0.14787358211219273,-0.16568631665788447,0.3135598987700772,8.13013781630139,0.05336297943301834,626.5598226534987,2.67473615345168,left,Amplitude.txt,1799,1799
0.500000000000002,0.2888356434393512,1.0,0.0,1.0,0.5000000000000021,0.500000000000002,599.833426028926,0.0005561735261401557,6.725599058812878e-17,0.0005561735261402911,0.0005561735261385148,1.7763568394002505e-15,0.0005564828551313347,0.0005558643690939411,599.833426028926,2.9957293283324713,left,Time.txt,1799,1799
0.49146324588725016,0.24325071621954292,1.0,0.0,1.0,0.48170586587998077,0.282380910170488,540.6712453328355,7.389855312521421e-05,0.061742257451968145,0.17579214593377387,-0.17207344821526688,0.3478655941490407,6.854177045637763,0.10734149054505006,540.6712453328355,2.801943457613155,left,Velocity.txt,1798,1798
0.52420590676092,0.3379929828980632,1.0,0.0,1.0,0.6340488624113423,0.701953960926471,699.8669294192925,-0.00036247931245217006,0.044788705453499444,0.1276088654564627,-0.14858951423164402,0.2761983796881067,3.609080989886664,0.03613118399110617,699.8669294192925,2.7763238263645977,left,Amplitude.txt,1799,1799
0.500000000000002,0.2888356434393512,1.0,0.0,1.0,0.5000000000000021,0.500000000000002,599.833426028926,0.0005561735261401557,6.725599058812878e-17,0.0005561735261402911,0.0005561735261385148,1.7763568394002505e-15,0.0005564828551313347,0.0005558643690939411,599.833426028926,2.9957293283324713,left,Time.txt,1799,1799
0.4922828698582526,0.24608780075769984,1.0,0.0,1.0,0.47210686218265385,0.2598675884300191,544.6171300884744,0.00031159366997154925,0.050682318499107974,0.14916003167530142,-0.16967835065731798,0.3188383823326194,4.618692509310219,0.06284760845383759,544.6171300884744,2.755928521920819,left,Velocity.txt,1798,1798
0.5426999819486356,0.390626906431456,1.0,0.0,1.0,0.6869106811215911,0.8619058919171784,804.8027707834658,0.00013773161138528345,0.06944404746725812,0.16049686279397182,-0.1642941484216925,0.32479101121566434,8.68049045753683,0.04777777777777778,804.8027707834658,2.463878458996447,left,Amplitude.txt,1800,1800
